,date,close,diff,open,high,low,volume
1126,2016.12.06,12850,650,13500,15050,12400,13725568
1123,2016.12.07,11800,1050,12750,13150,11750,4291145
1122,2016.12.08,11200,600,11850,12300,10900,4501845
1121,2016.12.09,11900,700,11350,12300,11250,3958017
1120,2016.12.12,11550,350,12150,12300,11450,1711610
1119,2016.12.13,13300,1750,11550,13800,11400,6621075
1115,2016.12.14,12950,350,13050,13700,12850,3493116
1114,2016.12.15,13600,650,12800,14350,12700,5434936
1113,2016.12.16,13750,150,13750,14150,13400,1815132
1112,2016.12.19,13600,150,13800,14250,13500,1981956
1111,2016.12.20,12950,650,13700,13850,12900,1749314
1108,2016.12.21,12450,500,12950,13000,12250,1583932
1107,2016.12.22,12600,150,12350,12600,12150,975439
1106,2016.12.23,12600,0,12600,12950,12400,1327045
1105,2016.12.26,12650,50,12650,12850,12500,890647
1104,2016.12.27,12800,150,12700,13000,12600,1151746
1100,2016.12.28,13200,400,12850,13400,12800,1455124
1099,2016.12.29,13250,50,13050,13300,12900,588591
1098,2017.01.02,12950,300,13250,13250,12900,497396
1097,2017.01.03,12750,200,13000,13150,12700,540369
1096,2017.01.04,12850,100,12800,12900,12650,399112
1093,2017.01.05,13200,350,12950,13550,12800,1159516
1092,2017.01.06,13050,150,13250,13250,12950,385308
1091,2017.01.09,12800,250,13000,13100,12800,404520
1090,2017.01.10,12500,300,12800,12900,12450,491422
1089,2017.01.11,12450,50,12600,12800,12450,459544
1085,2017.01.12,12150,300,12350,12500,12100,496991
1084,2017.01.13,12100,50,12200,12350,11850,612247
1083,2017.01.16,11700,400,12050,12200,11650,546945
1082,2017.01.17,11450,250,11500,11600,11250,748532
1081,2017.01.18,11500,50,11400,11850,11150,649156
1078,2017.01.19,11500,0,11500,11800,11500,300342
1077,2017.01.20,11200,300,11500,11550,11150,475914
1076,2017.01.23,10500,700,11100,11150,10400,914339
1075,2017.01.24,10000,500,10400,10400,9980,971277
1074,2017.01.25,10100,100,10100,10350,9980,489739
1070,2017.01.26,10600,500,10100,10850,10100,789656
1069,2017.01.31,10500,100,10650,10850,10350,359750
1068,2017.02.01,10600,100,10500,10700,10450,311870
1067,2017.02.02,10200,400,10450,10500,10200,457227
1066,2017.02.03,10200,0,10400,10400,10050,325456
1063,2017.02.06,10400,200,10250,10600,10100,366412
1062,2017.02.07,10600,200,10450,10700,10300,365127
1061,2017.02.08,10550,50,10700,10750,10450,265728
1060,2017.02.09,10200,350,10250,10400,10150,455731
1059,2017.02.10,10200,0,10250,10400,10150,249618
1055,2017.02.13,10050,150,10200,10250,10000,334122
1054,2017.02.14,10150,100,10100,10300,10000,380490
1053,2017.02.15,10150,0,10100,10300,10050,367330
1052,2017.02.16,9790,360,10150,10150,9790,733536
1051,2017.02.17,9200,590,9790,9790,8940,1447684
1048,2017.02.20,9050,150,9160,9190,8900,874109
1047,2017.02.21,10050,1000,9000,11450,8990,7600340
1046,2017.02.22,10100,50,9940,10150,9670,1674711
1045,2017.02.23,10350,250,10100,11000,9960,2475921
1044,2017.02.24,10550,200,10400,10800,10350,899518
1040,2017.02.27,10650,100,10750,10950,10550,762281
1039,2017.02.28,10500,150,10650,10750,10350,397511
1038,2017.03.02,10650,150,10550,10900,10450,540662
1037,2017.03.03,11350,700,10950,12600,10850,5581222
1036,2017.03.06,11450,100,11450,11550,11150,943593
1033,2017.03.07,11650,200,11850,11950,11500,1325335
1032,2017.03.08,11650,0,11500,11750,11300,662372
1031,2017.03.09,11350,300,11650,11650,11350,348116
1030,2017.03.10,11250,100,11350,11400,10950,495835
1029,2017.03.13,11300,50,11250,11550,11000,322954
1025,2017.03.14,11600,300,11450,11800,11350,745093
1024,2017.03.15,11350,250,11550,11750,11350,392031
1023,2017.03.16,11350,0,11400,11500,11300,198057
1022,2017.03.17,11700,350,11450,12100,11350,1373230
1021,2017.03.20,11800,100,11900,12200,11700,563145
1018,2017.03.21,11750,50,11950,11950,11600,470251
1017,2017.03.22,12150,400,11700,12150,11550,510329
1016,2017.03.23,12400,250,12200,12400,12000,813043
1015,2017.03.24,12350,50,12450,12700,12250,670430
1014,2017.03.27,11900,450,12100,12150,11800,605507
1010,2017.03.28,11850,50,11750,12050,11600,509316
1009,2017.03.29,11700,150,11850,11900,11600,339206
1008,2017.03.30,11700,0,11700,11900,11600,296624
1007,2017.03.31,11800,100,11550,11850,11350,577525
1006,2017.04.03,12150,350,11850,12250,11800,464801
1003,2017.04.04,12050,100,12300,12300,11950,369120
1002,2017.04.05,11950,100,12050,12100,11850,302046
1001,2017.04.06,11800,150,11850,11900,11600,272724
1000,2017.04.07,12150,350,11800,12300,11700,640225
999,2017.04.10,11950,200,12050,12150,11850,324863
995,2017.04.11,11800,150,11900,12000,11650,303892
994,2017.04.12,11650,150,11550,11800,11550,200789
993,2017.04.13,11700,50,11600,11900,11600,221511
992,2017.04.14,11550,150,11750,11900,11550,301539
991,2017.04.17,11650,100,11550,11750,11500,208238
988,2017.04.18,11650,0,11650,11800,11550,256150
987,2017.04.19,11500,150,11650,11650,11450,231327
986,2017.04.20,11450,50,11550,11650,11400,194714
985,2017.04.21,11550,100,11550,11750,11450,226195
984,2017.04.24,11300,250,11500,11500,11250,240902
980,2017.04.25,11600,300,11750,12300,11550,1870204
979,2017.04.26,11400,200,11700,11800,11350,445483
978,2017.04.27,11350,50,11450,11500,11300,229431
977,2017.04.28,11350,0,11300,11450,11250,257647
976,2017.05.02,11150,200,11350,11400,11150,179237
973,2017.05.04,11350,200,11150,11350,11100,190648
972,2017.05.08,11500,150,11600,12050,11500,1085552
971,2017.05.10,11250,250,11700,11700,11100,573139
970,2017.05.11,11250,0,11250,11300,11050,270209
969,2017.05.12,11000,250,11200,11250,10950,439544
965,2017.05.15,10650,350,10950,10950,10400,770179
964,2017.05.16,10650,0,10700,10700,10200,386014
963,2017.05.17,10750,100,10700,10900,10600,463670
962,2017.05.18,10800,50,10600,10850,10550,276167
961,2017.05.19,10850,50,10800,10950,10750,242553
958,2017.05.22,10750,100,10850,10900,10650,203245
957,2017.05.23,11250,500,10800,11250,10800,806246
956,2017.05.24,11350,100,11300,11350,11000,427629
955,2017.05.25,11450,100,11350,11450,11200,364916
954,2017.05.26,11600,150,11450,11900,11450,637411
950,2017.05.29,11600,0,11700,11900,11600,383367
949,2017.05.30,12100,500,11550,12100,11550,645727
948,2017.05.31,12500,400,12350,12500,12100,1382369
947,2017.06.01,12700,200,12450,12750,12150,761397
946,2017.06.02,13700,1000,12950,14300,12800,3696920
943,2017.06.05,14250,550,13700,14500,13600,1725538
942,2017.06.07,14200,50,14500,15100,13750,2718029
941,2017.06.08,15900,1700,14350,16350,14150,4148400
940,2017.06.09,16050,150,16050,16350,15600,2165709
939,2017.06.12,16000,50,15800,16150,15150,1541656
935,2017.06.13,18500,2500,15950,19850,15800,7514045
934,2017.06.14,18900,400,18300,19700,18300,2883750
933,2017.06.15,19250,350,19000,19600,18500,1873865
932,2017.06.16,23700,4450,19600,24450,19450,12899547
931,2017.06.19,27000,3300,24500,27450,23900,6736787
928,2017.06.20,24000,3000,26850,26900,22700,7282571
927,2017.06.21,22950,1050,23500,25750,22100,6487536
926,2017.06.22,21500,1450,21350,22250,20250,5297005
925,2017.06.23,19900,1600,21300,21950,19300,5740193
924,2017.06.26,19950,50,19600,20400,19300,2538247
920,2017.06.27,20700,750,20150,21200,19950,3075765
919,2017.06.28,19750,950,21000,21550,19400,2355050
918,2017.06.29,20600,850,20200,20700,19000,2025240
917,2017.06.30,20050,550,20150,20800,19950,1262725
916,2017.07.03,20100,50,20100,20250,19350,1338332
913,2017.07.04,22200,2100,20100,22250,19950,6473469
912,2017.07.05,21950,250,22500,24200,21700,5625307
911,2017.07.06,23050,1100,22100,23150,21550,2808435
910,2017.07.07,23100,50,23550,24000,22850,3464336
909,2017.07.10,24000,900,23700,24050,23200,1945816
905,2017.07.11,23550,450,24200,24250,23000,1834363
904,2017.07.12,21800,1750,23300,23450,21750,2674384
903,2017.07.13,22850,1050,22400,23100,21800,1883771
902,2017.07.14,22750,100,22650,23200,22550,768379
901,2017.07.17,23650,900,23000,23750,22800,1229903
898,2017.07.18,23300,350,23850,24550,23100,1354068
897,2017.07.19,23200,100,23150,23450,22400,990775
896,2017.07.20,23650,450,23450,25600,22850,4851296
895,2017.07.21,23400,250,23950,24150,23400,1006838
894,2017.07.24,22800,600,23450,23550,22800,924851
890,2017.07.25,22850,50,22950,23600,22650,965583
889,2017.07.26,22900,50,23050,23350,22750,620022
888,2017.07.27,23900,1000,23100,24250,22950,1669657
887,2017.07.28,24100,200,24250,24500,23500,1607694
886,2017.07.31,24800,700,23850,24800,23400,1349443
883,2017.08.01,25700,900,24850,26350,24700,3246676
882,2017.08.02,24100,1600,25900,26200,23800,3115525
881,2017.08.03,23900,200,24400,25100,23500,1326922
880,2017.08.04,24350,450,24250,24800,24050,841851
879,2017.08.07,25300,950,24300,25400,24000,1064671
875,2017.08.08,24900,400,25450,25800,24850,939028
874,2017.08.09,25300,400,24950,25500,24300,1056578
873,2017.08.10,24550,750,25150,25500,24500,1106578
872,2017.08.11,23500,1050,24000,24250,23400,1531297
871,2017.08.14,23750,250,23750,24150,23550,534843
868,2017.08.16,24050,300,24050,24450,23900,610998
867,2017.08.17,24650,600,24400,25450,24350,1168239
866,2017.08.18,24400,250,24150,24700,24100,443722
865,2017.08.21,24300,100,24500,24800,24200,433589
864,2017.08.22,23750,550,24350,24550,23600,767168
860,2017.08.23,23150,600,23650,23750,23100,875556
859,2017.08.24,23700,550,23150,23950,22200,1302342
858,2017.08.25,23250,450,23400,23900,23100,582657
857,2017.08.28,23250,0,23150,23600,22700,571629
856,2017.08.29,23050,200,22950,23400,22950,448930
853,2017.08.30,22950,100,22950,23400,22850,463854
852,2017.08.31,24950,2000,23300,25450,23000,4906317
851,2017.09.01,26500,1550,25800,27450,25550,4948432
850,2017.09.04,28100,1600,25600,28150,25600,3656774
849,2017.09.05,26950,1150,29200,30000,26850,4746801
845,2017.09.06,31500,4550,27100,31500,26850,5786759
844,2017.09.07,31850,350,32850,33900,31300,6897450
843,2017.09.08,36800,4950,31750,37900,31500,10974646
842,2017.09.11,39400,2600,39300,45600,36800,19133146
841,2017.09.12,39450,50,41050,41250,37500,8078353
838,2017.09.13,38700,750,38600,39800,37050,5882305
837,2017.09.14,46500,7800,37700,46500,37300,12189816
836,2017.09.15,45800,700,45600,50100,44900,13273554
835,2017.09.18,45500,300,47400,47950,45150,3671991
834,2017.09.19,48000,2500,45900,48000,45400,5001155
830,2017.09.20,42850,5150,47700,47950,42850,4609488
829,2017.09.21,42000,850,42300,44850,39350,6640429
828,2017.09.22,41000,1000,43350,43400,40300,3451781
827,2017.09.25,48500,7500,41200,50400,39600,7825058
826,2017.09.26,44000,4500,47900,49350,43950,5917162
823,2017.09.27,43500,500,43200,45900,41550,4624472
822,2017.09.28,42900,600,43800,44450,42900,1948589
821,2017.09.29,44700,1800,43400,46750,43050,5009584
820,2017.10.10,45200,500,45200,46300,44750,2020505
819,2017.10.11,47000,1800,46000,48150,44700,3615637
815,2017.10.12,47450,450,47450,49500,46800,4613273
814,2017.10.13,46400,1050,47300,48400,46400,2820283
813,2017.10.16,47000,600,46900,48800,46450,2197900
812,2017.10.17,50400,3400,47600,50400,47100,5003481
811,2017.10.18,50600,200,49800,54300,49650,6300947
808,2017.10.19,52000,1400,51200,52400,48600,3071595
807,2017.10.20,56500,4500,51500,56500,51000,6080851
806,2017.10.23,60200,3700,57300,61000,56400,6282286
805,2017.10.24,58400,1800,60900,66600,58400,8654347
804,2017.10.25,62700,4300,59500,63000,59200,5388853
800,2017.10.26,61800,900,63500,64500,60500,3892965
799,2017.10.27,63000,1200,62000,63200,60900,2491862
798,2017.10.30,67000,4000,63400,67000,62000,4421223
797,2017.10.31,67500,500,66500,69700,65400,3805973
796,2017.11.01,68800,1300,68000,69500,67200,2076643
793,2017.11.02,76700,7900,69500,79200,69100,7894441
792,2017.11.03,81800,5100,78100,84200,77600,8257721
791,2017.11.06,80600,1200,83000,84500,74800,4380703
790,2017.11.07,74900,5700,82000,82700,71700,5847662
789,2017.11.08,78000,3100,73300,78600,68500,7779991
785,2017.11.09,76000,2000,77500,80800,76000,2735257
784,2017.11.10,75600,400,74800,77000,73800,2270451
783,2017.11.13,80600,5000,73400,80700,73100,3941332
782,2017.11.14,89400,8800,81400,89600,80600,6650916
781,2017.11.15,96900,7500,91200,100800,90100,8936953
778,2017.11.16,98000,1100,99500,102000,91300,4726419
777,2017.11.17,98000,0,99200,99800,96600,2020544
776,2017.11.20,127400,29400,98900,127400,98500,8232400
775,2017.11.21,131000,3600,127700,152300,127700,14822693
774,2017.11.22,113500,17500,136100,137500,113000,10674533
770,2017.11.23,124300,10800,109200,124300,103300,12349294
769,2017.11.24,107000,17300,122900,128000,107000,5778947
768,2017.11.27,108500,1500,101700,113000,100200,7546820
767,2017.11.28,92300,16200,110800,111000,91200,7651700
766,2017.11.29,98000,5700,94900,100300,86100,12555630
763,2017.11.30,110500,12500,100200,110500,96900,12047443
762,2017.12.01,108400,2100,116100,119900,107400,6059822
761,2017.12.04,108200,200,105000,111200,103500,4043288
760,2017.12.05,90000,18200,109000,109000,88700,8028477
759,2017.12.06,98300,8300,93000,99600,89900,9918547
755,2017.12.07,96600,1700,98900,102400,94500,5598464
754,2017.12.08,91200,5400,97800,98800,88800,3754637
753,2017.12.11,89700,1500,91200,93700,83300,5224245
752,2017.12.12,88000,1700,90200,91700,85600,3802042
751,2017.12.13,89100,1100,89400,92400,88200,3566029
748,2017.12.14,84900,4200,90500,90500,84500,4352875
747,2017.12.15,87600,2700,84700,89100,82000,5484558
746,2017.12.18,82500,5100,89000,89300,81100,3058705
745,2017.12.19,84400,1900,82200,84400,76200,7379031
744,2017.12.20,79500,4900,83400,85300,79500,4343480
740,2017.12.21,75600,3900,79200,81400,75600,4274996
739,2017.12.22,81000,5400,75200,81700,73200,9468489
738,2017.12.26,79000,2000,81300,85400,78500,7671506
737,2017.12.27,84700,5700,90000,90200,83500,8818567
736,2017.12.28,93500,8800,84800,94300,83000,7303047
733,2018.01.02,102500,9000,95900,104000,93300,6824281
732,2018.01.03,103000,500,102600,104900,99500,4760150
731,2018.01.04,92200,10800,102600,104000,92200,6538665
730,2018.01.05,100000,7800,85800,101200,85700,8318372
729,2018.01.08,93800,6200,98000,98400,92500,6352776
725,2018.01.09,109000,15200,96500,119200,93800,12734902
724,2018.01.10,98000,11000,105000,107300,97800,6588397
723,2018.01.11,96700,1300,97600,100600,95200,4115386
722,2018.01.12,98100,1400,99800,103300,97100,6806596
721,2018.01.15,103900,5800,101400,107500,99000,7308122
718,2018.01.16,102900,1000,113200,114700,102500,6163319
717,2018.01.17,106900,4000,103400,108500,100100,4786797
716,2018.01.18,105200,1700,106900,108800,104900,2975280
715,2018.01.19,103000,2200,106300,109600,100200,3473985
714,2018.01.22,104100,1100,102600,106900,100000,2103216
710,2018.01.23,115000,10900,106900,115000,105400,6011029
709,2018.01.24,110500,4500,115500,116600,110000,4417311
708,2018.01.25,111500,1000,110700,112800,107600,2508539
707,2018.01.26,110000,1500,110300,112500,109000,1882386
706,2018.01.29,110000,0,110300,112800,109600,1844918
703,2018.01.30,110100,100,110500,114600,110100,2989244
702,2018.01.31,105900,4200,109000,110700,105700,2340061
701,2018.02.01,100300,5600,106600,107400,99800,2669463
700,2018.02.02,104200,3900,100000,105700,98600,2460966
699,2018.02.05,97500,6700,101200,102100,97400,1780924
695,2018.02.06,93700,3800,92000,96200,89700,4164230
694,2018.02.07,87500,6200,97000,97800,87500,2749858
693,2018.02.08,95300,7800,88400,96900,86600,3514752
692,2018.02.09,91400,3900,90300,93200,89400,2756852
691,2018.02.12,88500,2900,92300,93400,88500,1873886
688,2018.02.13,84500,4000,90400,91200,84500,2159744
687,2018.02.14,85400,900,86000,87900,84200,2163727
686,2018.02.19,94600,9200,88700,95000,87800,4257215
685,2018.02.20,91000,3600,94600,94900,90200,1736078
684,2018.02.21,94900,3900,91500,95600,90500,2016696
680,2018.02.22,94800,100,94100,97200,93400,1813086
679,2018.02.23,98800,4000,107000,108500,98800,5435343
678,2018.02.26,99100,300,99000,101200,98100,1688989
677,2018.02.27,100300,1200,100500,103000,99900,2153382
676,2018.02.28,102400,2100,99400,102900,99400,2398496
673,2018.03.02,105600,3200,101300,107000,100700,3074091
672,2018.03.05,108500,2900,106400,110800,105700,3253202
671,2018.03.06,108900,400,110300,110800,105800,2151649
670,2018.03.07,104300,4600,108000,110200,103000,2119904
669,2018.03.08,107400,3100,105500,108000,104500,1247864
665,2018.03.09,105700,1700,107400,108400,104400,1445862
664,2018.03.12,109800,4100,106300,109800,104800,1714449
663,2018.03.13,117300,7500,110000,118000,109400,5072706
662,2018.03.14,119900,2600,116600,120000,115100,2155459
661,2018.03.15,116900,3000,119700,125600,112200,4172322
658,2018.03.16,119100,2200,117900,119800,116100,2661831
657,2018.03.19,119000,100,118200,121900,116700,2006712
656,2018.03.20,121500,2500,117900,121500,117500,1597397
655,2018.03.21,125700,4200,122100,131200,121300,4004740
654,2018.03.22,113300,12400,128000,128100,110000,4951295
650,2018.03.23,100300,13000,110500,114500,99500,6014015
649,2018.03.26,108800,8500,101800,108800,98600,3181206
648,2018.03.27,104200,4600,110500,112800,103400,2757220
647,2018.03.28,103000,1200,102500,104200,99800,2095212
646,2018.03.29,107100,4100,103200,107500,102500,1446609
643,2018.03.30,107000,100,108200,108900,106600,1034497
642,2018.04.02,104800,2200,107400,107400,104100,959711
641,2018.04.03,105100,300,103200,105800,102300,850873
640,2018.04.04,107100,2000,106100,110700,104800,2290914
639,2018.04.05,106200,900,108900,110000,105600,1189198
635,2018.04.06,103000,3200,105600,107100,101400,1635256
634,2018.04.09,104400,1400,103000,106600,101000,1787585
633,2018.04.10,104100,300,104100,107100,103600,1234625
632,2018.04.11,104000,100,105500,105800,103700,795819
631,2018.04.12,104700,700,105700,110900,104500,2977579
628,2018.04.13,104100,600,105000,105400,100300,1380896
627,2018.04.16,102800,1300,104100,105100,102600,976644
626,2018.04.17,104500,1700,103600,105900,103400,1087658
625,2018.04.18,103800,700,105400,106700,103000,1276698
624,2018.04.19,100800,3000,103000,105600,100500,2014582
620,2018.04.20,97600,3200,101200,102200,95200,2185643
619,2018.04.23,87900,9700,94500,95700,87600,3855868
618,2018.04.24,83300,4600,87400,89700,83200,3150133
617,2018.04.25,82800,500,82800,84600,79600,3496542
616,2018.04.26,86500,3700,84700,88600,83900,2837188
613,2018.04.27,88600,2100,87300,89100,85900,1516785
612,2018.04.30,84100,4500,87000,87700,83300,1613698
611,2018.05.02,85800,1700,82000,88300,80200,2033543
610,2018.05.03,82200,3600,86200,86800,82200,1083164
609,2018.05.04,75300,6900,82000,83500,75100,3066872
605,2018.05.08,65700,9600,75100,78300,65700,4398823
604,2018.05.09,69900,4200,66100,70300,64000,5941010
603,2018.05.10,68800,1100,70300,71200,67700,2045440
602,2018.05.11,72200,3400,67800,74400,67300,3404548
601,2018.05.14,70200,2000,72300,73100,68700,1779496
598,2018.05.15,71900,1700,72000,73400,70800,1485813
597,2018.05.16,75000,3100,73200,76500,72400,2775889
596,2018.05.17,76700,1700,76000,78500,73700,2125813
595,2018.05.18,76700,0,77400,79400,76300,1547616
594,2018.05.21,76900,200,77400,78700,76800,903245
590,2018.05.23,74400,2500,77500,78100,74300,1255645
589,2018.05.24,80400,6000,73600,80500,73500,2492807
588,2018.05.25,82000,1600,80500,83900,80400,2386808
587,2018.05.28,80500,1500,79800,82400,78200,1828545
586,2018.05.29,78000,2500,82200,84100,77900,1801035
583,2018.05.30,81400,3400,79700,81700,78100,1418513
582,2018.05.31,80500,900,82800,83100,79700,1491376
581,2018.06.01,82000,1500,80500,83500,80400,1209685
580,2018.06.04,78500,3500,81500,82300,77400,1343836
579,2018.06.05,80500,2000,83100,83900,79300,2110623
575,2018.06.07,81700,1200,80800,82800,80500,1391767
574,2018.06.08,80300,1400,81700,82500,80000,1033078
573,2018.06.11,78200,2100,79400,80600,78000,1022693
572,2018.06.12,78500,300,78500,81400,78200,1433531
571,2018.06.14,78600,100,78500,79500,77900,986008
