,date,close,diff,open,high,low,volume
568,2018.06.15,81400,2800,78900,81600,78000,1602932
567,2018.06.18,78900,2500,81100,82300,78000,1239998
566,2018.06.19,72700,6200,78800,79000,72600,2036481
565,2018.06.20,74800,2100,75800,76200,73500,1073113
564,2018.06.21,71100,3700,75200,75700,70900,1010057
560,2018.06.22,72000,900,70500,72600,68900,993932
559,2018.06.25,75300,3300,72500,77800,71800,1461095
558,2018.06.26,77000,1700,74100,78400,73600,1015256
557,2018.06.27,74900,2100,77600,78000,74900,700671
556,2018.06.28,72000,2900,74300,74900,72000,671455
553,2018.06.29,73300,1300,72600,73400,71000,592266
552,2018.07.02,69100,4200,73300,73900,68700,1026229
551,2018.07.03,67900,1200,69600,70500,66400,990329
550,2018.07.04,69000,1100,68100,69600,67100,819749
549,2018.07.05,74500,5500,68300,77500,68200,1573024
545,2018.07.06,73200,1300,74400,74500,71200,931255
544,2018.07.09,72800,400,73900,76000,72700,1039642
543,2018.07.10,73200,400,73700,74500,73100,482704
542,2018.07.11,70000,3200,72000,73000,70000,719789
541,2018.07.12,70500,500,70000,71300,69700,504728
538,2018.07.13,70400,100,70000,71600,69700,507211
537,2018.07.16,70300,100,71000,72200,70000,550516
536,2018.07.17,68700,1600,70700,70900,68600,741515
535,2018.07.18,67100,1600,69300,69900,66700,854073
534,2018.07.19,62200,4900,67400,67700,58100,3812932
530,2018.07.20,61800,400,61900,65200,61100,2038993
529,2018.07.23,53600,8200,61300,62000,53300,2667093
528,2018.07.24,50300,3300,53800,54700,50300,3424127
527,2018.07.25,46300,4000,50300,50800,45300,7419416
526,2018.07.26,48900,2600,47300,50200,45600,5990446
523,2018.07.27,49400,500,49200,51800,48100,4038471
522,2018.07.30,50200,800,48800,51000,47550,2050824
521,2018.07.31,52200,2000,49900,52700,49750,1991424
520,2018.08.01,58300,6100,52500,60400,52400,5787849
519,2018.08.02,58500,200,58600,58700,55700,2381023
515,2018.08.03,59200,700,59000,60300,58200,1612282
514,2018.08.06,58500,700,59000,60800,58200,1644223
513,2018.08.07,59000,500,59300,59700,56400,1533578
512,2018.08.08,58900,100,59400,60400,58700,1263841
511,2018.08.09,62200,3300,58500,62600,57400,2958273
508,2018.08.10,60300,1900,61600,62900,59700,1699834
507,2018.08.13,55200,5100,59900,60900,54800,1969557
506,2018.08.14,57000,1800,55100,57700,54800,1515087
505,2018.08.16,57500,500,55300,58400,54400,1348411
504,2018.08.17,61500,4000,57800,62000,57700,2558618
500,2018.08.20,60500,1000,62000,62100,60300,1148053
499,2018.08.21,62900,2400,61600,64200,61200,1662342
498,2018.08.22,62000,900,63500,64000,61600,930691
497,2018.08.23,62800,800,62000,62900,61200,885404
496,2018.08.24,65000,2200,64600,66600,63700,2110154
493,2018.08.27,66300,1300,66200,67500,64700,1302620
492,2018.08.28,67400,1100,67300,69100,66500,1677504
491,2018.08.29,66100,1300,67900,68100,65300,1044419
490,2018.08.30,68500,2400,65800,68600,65400,1002923
489,2018.08.31,76400,7900,67900,79100,67700,5987954
485,2018.09.03,77100,700,76400,80300,75700,3267044
484,2018.09.04,77700,600,78300,78600,76600,1307675
483,2018.09.05,76800,900,78300,79400,76500,1722240
482,2018.09.06,75200,1600,77100,77900,74300,1598966
481,2018.09.07,75400,200,74000,77100,73500,1439327
478,2018.09.10,76400,1000,75300,77500,74800,928629
477,2018.09.11,76200,200,76800,77600,75900,798745
476,2018.09.12,84700,8500,76800,86100,76700,6042933
475,2018.09.13,86700,2000,85600,89700,84800,3285025
474,2018.09.14,93100,6400,86900,95000,84800,5450765
470,2018.09.17,93900,800,94400,96800,92300,2349573
469,2018.09.18,95300,1400,94400,98100,93300,2374544
468,2018.09.19,99400,4100,96600,99500,96200,2148592
467,2018.09.20,100100,700,99700,111000,98800,6133215
466,2018.09.21,99800,300,101500,102600,96600,2601821
463,2018.09.27,103000,3200,99000,104900,98900,2196608
462,2018.09.28,102400,600,104200,105300,100000,1685551
461,2018.10.01,106800,4400,103300,107700,100200,2360004
460,2018.10.02,91400,15400,105800,106400,91400,4372464
459,2018.10.04,95200,3800,92500,97300,91400,3171820
455,2018.10.05,88200,7000,94700,95500,87400,3890239
454,2018.10.08,82300,5900,86700,91000,81000,3922977
453,2018.10.10,83900,1600,83700,85300,81900,3215786
452,2018.10.11,79600,4300,79500,82300,78900,2954603
451,2018.10.12,89700,10100,81200,89900,80200,4429117
448,2018.10.15,85000,4700,91000,91200,84100,3003138
447,2018.10.16,88200,3200,86300,89400,84700,2133588
446,2018.10.17,88300,100,91400,92300,86100,2472552
445,2018.10.18,85800,2500,88300,89100,85600,1298097
444,2018.10.19,86000,200,85300,86200,82200,2738449
440,2018.10.22,88000,2000,85500,89200,84800,1765611
439,2018.10.23,81500,6500,86300,86800,80700,2890989
438,2018.10.24,77700,3800,83000,83900,75400,3335431
437,2018.10.25,75500,2200,74500,76700,71400,4162679
436,2018.10.26,70200,5300,77200,77200,70200,3717405
433,2018.10.29,68700,1500,70600,72300,67000,4153231
432,2018.10.30,71500,2800,68700,71700,67900,4142992
431,2018.10.31,68900,2600,72300,72500,68300,2424842
430,2018.11.01,69000,100,70000,71400,68600,1839282
429,2018.11.02,76000,7000,70800,76900,70200,3371093
425,2018.11.05,76900,900,77500,78700,75700,2339659
424,2018.11.06,74800,2100,77200,77300,73500,1880017
423,2018.11.07,76200,1400,75200,77800,74000,2177460
422,2018.11.08,75600,600,78600,79200,75600,1627742
421,2018.11.09,72200,3400,75200,75600,71300,1486946
418,2018.11.12,65600,6600,69800,70100,65500,2869552
417,2018.11.13,67700,2100,64200,68300,63500,3029453
416,2018.11.14,69100,1400,67400,72000,66500,2900457
415,2018.11.15,71000,1900,70000,71700,68300,1762926
414,2018.11.16,71700,700,71400,73700,71000,1740396
410,2018.11.19,75800,4100,72500,75900,72300,1954191
409,2018.11.20,72000,3800,74400,75500,71800,1915486
408,2018.11.21,72000,0,70100,72900,68600,2201457
407,2018.11.22,71600,400,72300,73800,70700,1143191
406,2018.11.23,70800,800,71600,73700,70500,1063366
403,2018.11.26,72900,2100,71500,73500,71300,1055003
402,2018.11.27,73100,200,74100,74800,72200,1000194
401,2018.11.28,72400,700,73500,73700,72100,679949
400,2018.11.29,70500,1900,74300,74300,70500,1011528
399,2018.11.30,70700,200,70900,71700,70000,665775
395,2018.12.03,77600,6900,72400,77900,71800,3131233
394,2018.12.04,78200,600,77400,80100,76600,2503392
393,2018.12.05,82200,4000,76800,82400,76400,2512966
392,2018.12.06,76900,5300,81100,81800,76800,2401743
391,2018.12.07,80200,3300,78400,81500,78100,2473374
388,2018.12.10,81800,1600,78500,82900,77600,2333404
387,2018.12.11,77500,4300,82300,82900,77100,2287223
386,2018.12.12,80100,2600,78300,80200,77900,1218077
385,2018.12.13,80800,700,80100,81700,78500,1642763
384,2018.12.14,79000,1800,80300,82800,77400,2162227
380,2018.12.17,75200,3800,78700,78900,70900,3681972
379,2018.12.18,73600,1600,72900,76100,72500,1593682
378,2018.12.19,75600,2000,74500,77200,73700,1901530
377,2018.12.20,74200,1400,75100,77700,73600,2106914
376,2018.12.21,73800,400,74100,75800,73600,1239270
373,2018.12.24,71200,2600,73400,73700,71200,1490316
372,2018.12.26,73500,2300,68600,73500,68500,3110194
371,2018.12.27,72900,600,77100,77200,72600,2560868
370,2018.12.28,73500,600,73600,74500,72100,1110865
369,2019.01.02,73400,100,74500,76400,72700,1602082
365,2019.01.03,71300,2100,73900,74300,71000,1145270
364,2019.01.04,72000,700,71400,72200,70100,1143198
363,2019.01.07,71500,500,73500,73500,71300,924991
362,2019.01.08,70300,1200,71900,72200,70000,888230
361,2019.01.09,70500,200,70700,71000,68000,1620465
358,2019.01.10,72700,2200,70500,73300,70200,1418336
357,2019.01.11,71500,1200,72700,73400,71000,741533
356,2019.01.14,70500,1000,71000,71500,70000,654872
355,2019.01.15,70500,0,70900,71300,70100,653447
354,2019.01.16,69000,1500,70500,70800,68600,1135646
350,2019.01.17,67100,1900,68900,70400,67000,1423191
349,2019.01.18,69500,2400,67800,70000,67200,1172198
348,2019.01.21,69800,300,70000,70900,68500,868192
347,2019.01.22,70100,300,70200,72200,70000,1031476
346,2019.01.23,69000,1100,69600,70200,68600,776394
343,2019.01.24,70800,1800,68900,70900,68700,901342
342,2019.01.25,71300,500,70800,71500,70000,703751
341,2019.01.28,71300,0,71500,73000,70800,1053259
340,2019.01.29,70900,400,71400,72100,70100,633635
339,2019.01.30,71100,200,71000,71800,70200,576124
335,2019.01.31,75400,4300,72400,75800,72000,2869881
334,2019.02.01,74100,1300,75100,75700,73400,1030856
333,2019.02.07,73200,900,73600,73800,71800,1012819
332,2019.02.08,73400,200,72900,74800,72800,779175
331,2019.02.11,73800,400,73900,74900,73500,1080132
328,2019.02.12,72500,1300,74400,74400,72400,728338
327,2019.02.13,72300,200,73100,73500,72100,630400
326,2019.02.14,71400,900,72200,73000,70900,915736
325,2019.02.15,74200,2800,71600,76700,69800,3250755
324,2019.02.18,74300,100,74900,76100,74100,1458663
320,2019.02.19,73500,800,75700,76500,73300,1735865
319,2019.02.20,73500,0,73500,74400,73000,796959
318,2019.02.21,73400,100,73700,74400,73200,628266
317,2019.02.22,72000,1400,72900,73500,71800,842080
316,2019.02.25,73300,1300,72100,73900,71500,799032
313,2019.02.26,72800,500,73600,74400,72800,659441
312,2019.02.27,73500,700,72700,73800,72300,555903
311,2019.02.28,74300,800,74200,76000,71300,2467512
310,2019.03.04,78100,3800,75900,78300,74700,2202388
309,2019.03.05,78500,400,77900,80100,77400,1879761
305,2019.03.06,76900,1600,78800,78900,76200,1198166
304,2019.03.07,74900,2000,76200,77400,74400,894843
303,2019.03.08,74700,200,74400,75800,74200,591359
302,2019.03.11,75100,400,74400,75600,72700,759117
301,2019.03.12,73800,1300,76300,79000,68700,6136865
298,2019.03.13,68300,5500,74000,74100,66800,5813047
297,2019.03.14,68300,0,68300,70700,68300,2058016
296,2019.03.15,65900,2400,68300,68300,64100,4106283
295,2019.03.18,66500,600,67500,68200,66200,1429222
294,2019.03.19,66600,100,66800,68100,66300,1204663
290,2019.03.20,67800,1200,68900,69500,66900,1796494
289,2019.03.21,67400,400,67300,68600,67200,901242
288,2019.03.22,69200,1800,67900,70400,67700,1820397
287,2019.03.25,67800,1400,68300,68900,67000,803413
286,2019.03.26,67300,500,68400,68400,67000,571438
283,2019.03.27,64500,2800,67300,67800,63500,1334611
282,2019.03.28,62900,1600,63600,64800,62200,1102781
281,2019.03.29,64300,1400,62900,64600,61700,981823
280,2019.04.01,64700,400,63200,64900,63000,617620
279,2019.04.02,64400,300,65200,65600,64100,487967
275,2019.04.03,65900,1500,64800,65900,63600,743741
274,2019.04.04,65800,100,66200,66600,65000,458042
273,2019.04.05,64800,1000,65800,65800,64500,467645
272,2019.04.08,64300,500,65000,65200,64000,426970
271,2019.04.09,65600,1300,64100,65600,64000,629025
268,2019.04.10,65600,0,65300,65800,64600,391809
267,2019.04.11,66000,400,65700,66400,65100,427254
266,2019.04.12,65400,600,65600,65900,65200,269826
265,2019.04.15,64800,600,65400,65400,64600,428310
264,2019.04.16,64800,0,65000,65100,64000,445203
260,2019.04.17,64800,0,64800,65000,64300,317578
259,2019.04.18,62900,1900,64600,64700,62500,630625
258,2019.04.19,63100,200,62500,63900,62500,471030
257,2019.04.22,64900,1800,63900,66500,63600,1030853
256,2019.04.23,65200,300,65500,65800,64500,405004
253,2019.04.24,64900,300,65600,66300,64300,396478
252,2019.04.25,63800,1100,64800,64900,63300,369525
251,2019.04.26,63400,400,63000,64200,63000,353959
250,2019.04.29,64200,800,63100,64300,63100,295299
249,2019.04.30,65400,1200,64200,65900,63700,624271
245,2019.05.02,63800,1600,65100,65600,63800,492252
244,2019.05.03,63800,0,63800,65100,63300,421160
243,2019.05.07,62700,1100,63000,63500,62700,414906
242,2019.05.08,61000,1700,62000,65200,60300,1625296
241,2019.05.09,57800,3200,60900,61500,57700,1237743
238,2019.05.10,57400,400,57500,59000,56300,881053
237,2019.05.13,55900,1500,56400,57700,55900,534330
236,2019.05.14,54800,1100,54300,56200,53600,995092
235,2019.05.15,56000,1200,55300,56600,54900,541148
234,2019.05.16,55900,100,56000,57800,55400,558762
230,2019.05.17,56000,100,56700,57500,55900,390539
229,2019.05.20,54000,2000,56000,57000,53700,499445
228,2019.05.21,55300,1300,54200,55900,53700,560568
227,2019.05.22,57000,1700,55800,57400,55800,492901
226,2019.05.23,55700,1300,57700,57900,55600,372195
223,2019.05.24,56000,300,55100,56500,54400,375840
222,2019.05.27,55000,1000,56300,56600,54500,302544
221,2019.05.28,57100,2100,54900,57200,54900,499593
220,2019.05.29,54600,2500,56500,56800,54100,619613
219,2019.05.30,53100,1500,54800,55200,52400,686069
215,2019.05.31,55000,1900,52700,55400,52600,554425
214,2019.06.03,55600,600,54800,56300,54000,405661
213,2019.06.04,55500,100,55400,56300,55000,298104
212,2019.06.05,54800,700,57000,57100,54200,405303
211,2019.06.07,54500,300,54900,55200,53900,295567
208,2019.06.10,54200,300,54800,54900,53900,374375
207,2019.06.11,55900,1700,54100,56100,54000,500799
206,2019.06.12,56100,200,56000,56200,55000,391494
205,2019.06.13,55900,200,56000,56500,55500,670254
204,2019.06.14,56800,900,56100,59400,55800,985343
200,2019.06.17,56700,100,57500,58500,56600,421203
199,2019.06.18,55400,1300,57000,57400,55000,495082
198,2019.06.19,56000,600,55900,56400,55200,331231
197,2019.06.20,57700,1700,56100,57900,56100,487092
196,2019.06.21,56800,900,58000,58300,56500,336601
193,2019.06.24,56600,200,56900,57000,56100,216091
192,2019.06.25,57300,700,56600,58200,56100,423201
191,2019.06.26,57000,300,57100,58100,56800,354276
190,2019.06.27,52300,4700,57000,57300,48700,1890261
189,2019.06.28,49400,2900,51400,52000,49300,2035396
185,2019.07.01,50900,1500,49100,52000,49100,1127656
184,2019.07.02,49000,1900,50800,51200,48450,991961
183,2019.07.03,48900,100,48650,49650,48550,459788
182,2019.07.04,46600,2300,47950,48300,46200,1182895
181,2019.07.05,49500,2900,46600,49700,46600,878557
178,2019.07.08,47300,2200,49250,49400,47300,588438
177,2019.07.09,42000,5300,46000,46750,42000,2844106
176,2019.07.10,44800,2800,41800,47800,40050,5591892
175,2019.07.11,44800,0,45600,45600,43800,841944
174,2019.07.12,45150,350,44800,45800,44350,608214
170,2019.07.15,43800,1350,44150,44600,43550,618465
169,2019.07.16,45500,1700,43800,47550,43800,1608122
168,2019.07.17,46450,950,45350,47500,44800,1102298
167,2019.07.18,46400,50,46950,47200,45700,585475
166,2019.07.19,49000,2600,46700,49150,46600,1392720
163,2019.07.22,49550,550,49350,51500,49150,974148
162,2019.07.23,48800,750,49700,50400,48300,766791
161,2019.07.24,48450,350,49000,50400,48000,605484
160,2019.07.25,48250,200,48200,49100,48100,387837
159,2019.07.26,47000,1250,48150,48600,46100,776439
155,2019.07.29,45700,1300,46500,47500,45700,506952
154,2019.07.30,44000,1700,45750,46800,41300,1011979
153,2019.07.31,44250,250,44100,45250,42100,1208576
152,2019.08.01,44550,300,44600,45450,43800,664665
151,2019.08.02,31200,13350,31200,31200,31200,217818
148,2019.08.05,21850,9350,21850,21850,21850,235177
147,2019.08.06,15300,6550,15300,17850,15300,45303581
146,2019.08.07,14200,1100,15850,16300,12600,43331944
145,2019.08.08,14650,450,14700,15350,14150,17472876
144,2019.08.09,13950,700,14900,15000,13750,8772205
140,2019.08.12,14900,950,13700,15250,13350,14536209
139,2019.08.13,14450,450,14700,15200,14350,5494896
138,2019.08.14,13600,850,14650,14800,13400,6457273
137,2019.08.16,13600,0,13150,14200,12750,6895919
136,2019.08.19,13500,100,13900,14050,13400,2454388
133,2019.08.20,13650,150,13450,13850,13350,2696297
132,2019.08.21,13800,150,13650,14150,13500,3746065
131,2019.08.22,14600,800,14050,15150,14000,10528454
130,2019.08.23,15000,400,14350,15550,14350,9862603
129,2019.08.26,13700,1300,14750,14900,13700,6127881
125,2019.08.27,12850,850,13800,14100,12650,5958254
124,2019.08.28,10350,2500,12850,13150,9000,42750442
123,2019.08.29,10200,150,10400,10950,10100,11217844
122,2019.08.30,10500,300,10500,10800,10250,5269126
121,2019.09.02,12050,1550,10650,12600,10500,17028457
118,2019.09.03,11750,300,12200,13300,11450,12287296
117,2019.09.04,12400,650,12000,12400,11750,5070808
116,2019.09.05,12250,150,12650,12700,12000,3468035
115,2019.09.06,11800,450,12350,12400,11700,2398999
114,2019.09.09,11350,450,11700,11750,11250,2333340
110,2019.09.10,11700,350,11350,11950,11300,2753823
109,2019.09.11,11500,200,11750,11800,11350,1984324
108,2019.09.16,11700,200,11600,11800,11300,1749718
107,2019.09.17,11750,50,11600,12100,11500,2898166
106,2019.09.18,11550,200,11850,11900,11550,1453369
103,2019.09.19,10950,600,11000,11250,10600,3652290
102,2019.09.20,10300,650,10800,10950,10150,4754470
101,2019.09.23,9910,390,10200,10200,9680,3920517
100,2019.09.24,10050,140,9730,10350,9730,3085993
99,2019.09.25,9250,800,9950,10050,9090,3677009
95,2019.09.26,9250,0,9450,9600,9120,2229881
94,2019.09.27,8900,350,9250,9300,8710,3233749
93,2019.09.30,8140,760,9020,9120,7820,5722270
92,2019.10.01,10550,2410,8140,10550,8140,16582556
91,2019.10.02,9520,1030,11350,11600,9500,22184062
88,2019.10.04,10950,1430,9390,11850,9330,31799162
87,2019.10.07,14200,3250,11350,14200,11250,39547526
86,2019.10.08,16350,2150,14850,17950,14750,60037508
85,2019.10.10,15100,1250,15500,16200,14100,25759204
84,2019.10.11,13450,1650,14750,16550,13150,22243388
80,2019.10.14,13700,250,14350,15100,13400,11318078
79,2019.10.15,13800,100,13500,14500,13200,9036768
78,2019.10.16,13600,200,14300,14400,13300,4977032
77,2019.10.17,13150,450,13500,14050,13050,4784074
76,2019.10.18,12750,400,13300,13400,12100,6215509
73,2019.10.21,14300,1550,12750,14700,12600,20210169
72,2019.10.22,14850,550,14900,16750,14150,38460628
71,2019.10.23,19300,4450,15250,19300,15150,55970627
70,2019.10.24,20700,1400,21800,22350,18500,50541267
69,2019.10.25,18800,1900,19800,20400,18450,15407189
65,2019.10.28,19700,900,19150,20500,18800,16300778
64,2019.10.29,20150,450,19750,21650,18750,20492787
63,2019.10.30,19600,550,20400,21150,19500,9492220
62,2019.10.31,19250,350,20000,20350,19100,6659214
61,2019.11.01,18050,1200,18100,18950,18000,6780176
58,2019.11.04,18350,300,18250,18600,17050,8608250
57,2019.11.05,19350,1000,18550,20200,17900,11700915
56,2019.11.06,18450,900,19100,19200,18400,4028944
55,2019.11.07,17600,850,18450,18950,17450,5157194
54,2019.11.08,17550,50,17250,18450,16850,7750166
50,2019.11.11,17950,400,17750,18550,17450,4731428
49,2019.11.12,17450,500,17900,18350,17400,2998710
48,2019.11.13,17050,400,17450,17750,17050,2288086
47,2019.11.14,16400,650,17200,17250,16200,3260422
46,2019.11.15,18500,2100,16400,19150,16150,18396932
43,2019.11.18,18650,150,18550,20150,18300,7686170
42,2019.11.19,18850,200,18850,19950,18450,9228092
41,2019.11.20,18150,700,19200,19550,18100,6444952
40,2019.11.21,17600,550,18250,18450,17400,2923192
39,2019.11.22,17050,550,17550,18050,17000,2474257
35,2019.11.25,17400,350,17350,18050,17350,2509961
34,2019.11.26,16600,800,17650,17750,16600,6179093
33,2019.11.27,15150,1450,16750,16800,15100,7392710
32,2019.11.28,15150,0,15050,16050,15000,4003367
31,2019.11.29,14500,650,15250,15600,14400,3067317
28,2019.12.02,14400,100,14500,14700,14000,2659568
27,2019.12.03,13650,750,14200,14650,13550,2905504
26,2019.12.04,13750,100,14050,14650,13350,3064282
25,2019.12.05,13200,550,13800,13850,13000,1864402
24,2019.12.06,13750,550,13300,13950,13300,1965387
20,2019.12.09,14050,300,13850,14200,13500,1594531
19,2019.12.10,14350,300,14300,14500,14100,1542255
18,2019.12.11,13850,500,14250,14350,13800,1083082
17,2019.12.12,14400,550,13900,14550,13700,1846038
16,2019.12.13,14250,150,14600,14800,14150,1288498
13,2019.12.16,13850,400,14150,14250,13800,1222888
12,2019.12.17,14250,400,13900,14600,13900,1740494
11,2019.12.18,13950,300,14350,14450,13850,1067870
10,2019.12.19,14050,100,13950,14250,13900,778560
9,2019.12.20,14000,50,14050,14150,13900,722286
5,2019.12.23,14300,300,14050,15000,13950,3302900
4,2019.12.24,13650,650,14400,14400,13500,1428894
3,2019.12.26,13900,250,13700,14050,13500,1010976
2,2019.12.27,14050,150,13900,14300,13900,1200104
1,2019.12.30,14300,250,14250,14450,14150,529564
